year,women_perc,RM5,year
1945,0.030625,,1945
1946,0.03166666666666667,,1946
1947,0.024,,1947
1948,0.03263157894736842,,1948
1949,0.04105263157894737,0.03199517543859649,1949
1950,0.03666666666666667,0.033203508771929825,1950
1951,0.04428571428571428,0.03572731829573935,1951
1952,0.04666666666666666,0.04026065162907268,1952
1953,0.04714285714285714,0.043162907268170424,1953
1954,0.05909090909090909,0.04677056277056277,1954
1955,0.03214285714285715,0.04586580086580087,1955
1956,0.049166666666666664,0.04684199134199134,1956
1957,0.04869565217391305,0.047247788443440616,1957
1958,0.04172413793103448,0.046164044601076086,1958
1959,0.033846153846153845,0.04111509355212504,1959
1960,0.04321428571428571,0.04332937926641075,1960
1961,0.03727272727272727,0.04095059138762287,1961
1962,0.0504,0.04129146095284027,1962
1963,0.05142857142857143,0.043232347652347645,1963
1964,0.0408,0.04462311688311689,1964
1965,0.034074074074074076,0.04279507455507456,1965
1966,0.06777777777777778,0.04889608465608466,1966
1967,0.049999999999999996,0.048816084656084655,1967
1968,0.0425,0.04703037037037037,1968
1969,0.0408,0.04703037037037037,1969
1970,0.055,0.051215555555555556,1970
1971,0.08444444444444445,0.05454888888888889,1971
1972,0.05615384615384615,0.05577965811965811,1972
1973,0.06133333333333334,0.05954632478632479,1973
1974,0.06838709677419355,0.06506374414116349,1974
1975,0.09318181818181817,0.07270010777752714,1975
1976,0.10551724137931034,0.07691466716450032,1976
1977,0.05354838709677419,0.07639357535308591,1977
1978,0.056857142857142856,0.07549833725784783,1978
1979,0.09131578947368421,0.08008407579774596,1979
1980,0.07677419354838709,0.07680255087105974,1980
1981,0.10709677419354838,0.07711845743390736,1981
1982,0.06757575757575758,0.07992393152970403,1982
1983,0.07303030303030303,0.08315856356433605,1983
1984,0.072,0.07929540566959922,1984
1985,0.0970967741935484,0.08335992179863147,1985
1986,0.12766666666666668,0.08747390029325515,1986
1987,0.0876923076923077,0.09149721031656516,1987
1988,0.08774193548387098,0.09443953680727875,1988
1989,0.08256410256410257,0.09655235732009926,1989
1990,0.07857142857142858,0.09284728819567531,1990
1991,0.1053125,0.08837645486234197,1991
1992,0.0667391304347826,0.08418581941083694,1992
1993,0.08363636363636363,0.08336470504133549,1993
1994,0.12195652173913044,0.09124318887634104,1994
1995,0.10815789473684212,0.09716048210942377,1995
1996,0.09270270270270271,0.09463852264996431,1996
1997,0.10071428571428573,0.10143355370586493,1997
1998,0.1431707317073171,0.1133404273200556,1998
1999,0.13489795918367348,0.11592871480896423,1999
2000,0.10155555555555557,0.11460824697270691,2000
2001,0.15194444444444444,0.12645659532105524,2001
2002,0.15810344827586206,0.1379344278333705,2002
2003,0.14075,0.13745028149190713,2003
2004,0.1446938775510204,0.1394094651653765,2004
2005,0.1905128205128205,0.1572009181568295,2005
2006,0.16478260869565217,0.15976855100707102,2006
2007,0.1640909090909091,0.16096604317008043,2007
2008,0.17,0.16681604317008042,2008
2009,0.21600000000000003,0.18107726765987636,2009
2010,0.17954545454545456,0.17888379446640318,2010
2011,0.21145454545454548,0.18821818181818184,2011
2012,0.17097560975609755,0.18959512195121953,2012
2013,0.2388888888888889,0.20337289972899733,2013
2014,0.2172093023255814,0.20361476019411356,2014
2015,0.20944444444444446,0.20959455817391154,2015
2016,0.19794871794871793,0.20689339267274603,2016
2017,0.24533333333333335,0.22176493738819322,2017
2018,0.24658536585365853,0.22330423278114714,2018
