country,region,election_renewal,year,month,chamber_type,chamber_total_seats,women_total,women_perc,notes
Afghanistan,ASIA,Yes,1965,July,lower,210,4.0,0.02,First legislature of Afghanistan after the abolition of the monarchy in 1964
Afghanistan,ASIA,Yes,1965,July,upper,84,0.0,0.0,First legislature of Afghanistan after the abolition of the monarchy in 1964
Afghanistan,ASIA,Yes,1969,,lower,216,0.0,0.0,Parliament was dissolved following a military coup d'Etat in July 1973.
Afghanistan,ASIA,Yes,1969,,upper,84,0.0,0.0,Parliament was dissolved following a military coup d'Etat in July 1973.
Afghanistan,ASIA,Yes,1988,,lower,235,7.0,0.03,"Collapse of constitutional institutions, including Parliament, in April 1992.  A Council of Decision and Settlement or Constituent Assembly, comprising 1335 members met in December 1992 and January 1993 and elected from among its ranks a 250-member interim Assembly. Pending general elections: no available information concerning the number of women members of the Council or the interim Assembly."
Afghanistan,ASIA,Yes,1988,,upper,173,0.0,0.0,"Collapse of constitutional institutions, including Parliament, in April 1992.  A Council of Decision and Settlement or Constituent Assembly, comprising 1335 members met in December 1992 and January 1993 and elected from among its ranks a 250-member interim Assembly. Pending general elections: no available information concerning the number of women members of the Council or the interim Assembly."
Afghanistan,ASIA,Yes,2005,,lower,249,68.0,0.27,65 seats were reserved for women in general and 10 seats for Kuchis including at least 3 women.
Afghanistan,ASIA,Yes,2005,,upper,102,23.0,0.23,
Afghanistan,ASIA,Yes,2010,,lower,249,69.0,0.28,Elections were held for all the seats in the House of the People on the normal expiry of the members' term of office.
Afghanistan,ASIA,Yes,2010,,upper,102,28.0,0.27,Renewal of the 68 members indirectly elected by the Provincial Councils in November 2005.
Afghanistan,ASIA,Yes,2011,,upper,102,28.0,0.27,Renewal of the 34 members appointed by the President.
Afghanistan,ASIA,Yes,2015,January,upper,102,28.0,0.27,
Afghanistan,ASIA,Yes,2018,October,lower,244,68.0,0.28,
Albania,EUR,Yes,1945,,single,82,3.0,0.04,
Albania,EUR,Yes,1950,,single,121,17.0,0.14,
Albania,EUR,Yes,1954,,single,134,16.0,0.12,
Albania,EUR,Yes,1958,,single,187,17.0,0.09,
Albania,EUR,Yes,1962,,single,214,25.0,0.12,
Albania,EUR,Yes,1966,,single,240,39.0,0.16,
Albania,EUR,Yes,1970,,single,264,72.0,0.27,
Albania,EUR,Yes,1974,,single,250,83.0,0.33,
Albania,EUR,Yes,1978,,single,250,81.0,0.32,
Albania,EUR,Yes,1982,,single,250,76.0,0.3,
Albania,EUR,Yes,1987,,single,250,72.0,0.29,
Albania,EUR,Yes,1991,,single,250,9.0,0.04,
Albania,EUR,Yes,1992,,single,140,8.0,0.06,
Albania,EUR,Yes,1996,,single,140,17.0,0.12,
Albania,EUR,Yes,2001,,single,140,8.0,0.06,
Albania,EUR,Yes,2005,,single,140,10.0,0.07,
Albania,EUR,Yes,2009,,single,140,23.0,0.16,
Albania,EUR,Yes,2013,January,single,140,22.0,0.16,
Albania,EUR,Yes,2017,June,single,140,39.0,0.28,
Algeria,MENA,Yes,1962,,single,196,10.0,0.05,First legislature of Algeria after the country became independent on 5 July 1962
