year,women_perc,RM5,decade,year_in_decade
1945,0.03,,40's,5
1946,0.03,,40's,6
1947,0.02,,40's,7
1948,0.03,,40's,8
1949,0.04,0.03,40's,9
1950,0.04,0.03,50's,0
1951,0.04,0.03,50's,1
1952,0.05,0.04,50's,2
1953,0.05,0.04,50's,3
1954,0.06,0.05,50's,4
1955,0.03,0.05,50's,5
1956,0.05,0.05,50's,6
1957,0.05,0.05,50's,7
1958,0.04,0.05,50's,8
1959,0.03,0.04,50's,9
1960,0.04,0.04,60's,0
1961,0.04,0.04,60's,1
1962,0.05,0.04,60's,2
1963,0.05,0.04,60's,3
1964,0.04,0.04,60's,4
1965,0.03,0.04,60's,5
1966,0.07,0.05,60's,6
1967,0.05,0.05,60's,7
1968,0.04,0.05,60's,8
1969,0.04,0.05,60's,9
1970,0.06,0.05,70's,0
1971,0.08,0.05,70's,1
1972,0.06,0.06,70's,2
1973,0.06,0.06,70's,3
1974,0.07,0.07,70's,4
1975,0.09,0.07,70's,5
1976,0.11,0.08,70's,6
1977,0.05,0.08,70's,7
1978,0.06,0.08,70's,8
1979,0.09,0.08,70's,9
1980,0.08,0.08,80's,0
1981,0.11,0.08,80's,1
1982,0.07,0.08,80's,2
1983,0.07,0.08,80's,3
1984,0.07,0.08,80's,4
1985,0.1,0.08,80's,5
1986,0.13,0.09,80's,6
1987,0.09,0.09,80's,7
1988,0.09,0.1,80's,8
1989,0.08,0.1,80's,9
1990,0.08,0.09,90's,0
1991,0.11,0.09,90's,1
1992,0.07,0.09,90's,2
1993,0.08,0.08,90's,3
1994,0.12,0.09,90's,4
1995,0.11,0.1,90's,5
1996,0.09,0.09,90's,6
1997,0.1,0.1,90's,7
1998,0.14,0.11,90's,8
1999,0.13,0.11,90's,9
2000,0.1,0.11,00's,0
2001,0.15,0.12,00's,1
2002,0.16,0.14,00's,2
2003,0.14,0.14,00's,3
2004,0.14,0.14,00's,4
2005,0.19,0.16,00's,5
2006,0.16,0.16,00's,6
2007,0.16,0.16,00's,7
2008,0.17,0.16,00's,8
2009,0.22,0.18,00's,9
2010,0.18,0.18,10's,0
2011,0.21,0.19,10's,1
2012,0.17,0.19,10's,2
2013,0.24,0.2,10's,3
2014,0.22,0.2,10's,4
2015,0.21,0.21,10's,5
2016,0.2,0.21,10's,6
2017,0.25,0.22,10's,7
2018,0.25,0.23,10's,8
